brewery_name,beer_name,beer_style,beer_abv,num_reviews,rating,city,state
21st Amendment Brewery,21 Rock,American Double / Imperial IPA,9.7,2,4.0,San Francisco, CA
21st Amendment Brewery,21st Amendment IPA,American IPA,7.0,650,3.89,San Francisco, CA
21st Amendment Brewery,21st Amendment Imperial Stout,Russian Imperial Stout,10.0,4,3.88,San Francisco, CA
21st Amendment Brewery,21st Amendment Pale Ale,American Pale Ale (APA),5.5,7,3.86,San Francisco, CA
21st Amendment Brewery,5-South,American Pale Ale (APA),6.0,3,4.0,San Francisco, CA
21st Amendment Brewery,563 Stout,American Stout,4.0,4,3.5,San Francisco, CA
21st Amendment Brewery,Allies Win The War!,English Strong Ale,8.5,113,3.82,San Francisco, CA
21st Amendment Brewery,Amber Waves,American Amber / Red Ale,5.4,11,3.67,San Francisco, CA
21st Amendment Brewery,Amendment Pale Ale,American Pale Ale (APA),5.6,1,4.0,San Francisco, CA
21st Amendment Brewery,Anchorage Vacation,Belgian IPA,9.3,4,4.25,San Francisco, CA
21st Amendment Brewery,Antiquated IPA,English India Pale Ale (IPA),6.5,1,5.0,San Francisco, CA
21st Amendment Brewery,Baby Horse,Quadrupel (Quad),11.8,1,4.5,San Francisco, CA
21st Amendment Brewery,Back In Black,American Black Ale,6.8,511,3.7,San Francisco, CA
21st Amendment Brewery,Batch 300,American Strong Ale,7.5,52,4.0,San Francisco, CA
21st Amendment Brewery,Beer School,American Blonde Ale,9.0,1,3.5,San Francisco, CA
21st Amendment Brewery,Beerly Legal Lager,American Adjunct Lager,5.1,1,3.0,San Francisco, CA
21st Amendment Brewery,Bitter American,American Pale Ale (APA),4.4,152,4.12,San Francisco, CA
21st Amendment Brewery,Blind Lust,Belgian Strong Dark Ale,9.5,1,1.0,San Francisco, CA
21st Amendment Brewery,Diesel Imperial Smoked Porter,American Porter,9.5,2,4.0,San Francisco, CA
21st Amendment Brewery,Double Trouble IPA,American Double / Imperial IPA,9.5,44,4.18,San Francisco, CA
21st Amendment Brewery,Drunken Monk Ale,Belgian Strong Dark Ale,8.3,4,3.38,San Francisco, CA
21st Amendment Brewery,Eurail IPA,Belgian IPA,6.1,1,2.0,San Francisco, CA
21st Amendment Brewery,Fireside Chat,Winter Warmer,7.9,209,3.08,San Francisco, CA
21st Amendment Brewery,Frico Neccia,American Pale Ale (APA),5.8,2,3.5,San Francisco, CA
21st Amendment Brewery,Friday IPA,American IPA,8.0,2,3.75,San Francisco, CA
21st Amendment Brewery,General Pippo's Porter,American Porter,6.8,4,3.75,San Francisco, CA
21st Amendment Brewery,Gigantes,American IPA,7.0,4,3.88,San Francisco, CA
21st Amendment Brewery,Golden Doom,Belgian Strong Pale Ale,8.2,26,3.87,San Francisco, CA
21st Amendment Brewery,Harvest Moon,American IPA,6.4,11,4.17,San Francisco, CA
21st Amendment Brewery,Heat Wave IPA,American IPA,8.0,1,3.5,San Francisco, CA
21st Amendment Brewery,Hell Or High Watermelon Wheat Beer,Fruit / Vegetable Beer,4.9,472,3.39,San Francisco, CA
21st Amendment Brewery,Hendrik's Russian Imperial Stout,American Double / Imperial Stout,7.5,2,1.25,San Francisco, CA
21st Amendment Brewery,Holiday Spiced Ale,Winter Warmer,6.8,4,3.75,San Francisco, CA
21st Amendment Brewery,Hop Caen,American IPA,7.0,1,4.5,San Francisco, CA
21st Amendment Brewery,Hop Crisis,American Double / Imperial IPA,9.7,289,3.93,San Francisco, CA
21st Amendment Brewery,Hqt,Herbed / Spiced Beer,5.7,3,3.17,San Francisco, CA
21st Amendment Brewery,King George IPA,English India Pale Ale (IPA),6.1,2,3.25,San Francisco, CA
21st Amendment Brewery,Leicht Weiss,Hefeweizen,5.0,1,4.5,San Francisco, CA
21st Amendment Brewery,Leuven Life Pale Ale,American Pale Ale (APA),5.4,1,4.0,San Francisco, CA
21st Amendment Brewery,Lost Sailor Imperial Pilsner,American Double / Imperial Pilsner,8.6,2,4.25,San Francisco, CA
21st Amendment Brewery,Lower Da Boom Barleywine,American Barleywine,9.5,7,3.5,San Francisco, CA
21st Amendment Brewery,MMXA,American Pale Ale (APA),5.3,1,2.5,San Francisco, CA
21st Amendment Brewery,Mo'tcho Risin',American Stout,8.1,3,4.0,San Francisco, CA
21st Amendment Brewery,Monk's Blood,Belgian Strong Dark Ale,8.3,371,3.73,San Francisco, CA
21st Amendment Brewery,Noir De Blanc,Witbier,4.8,3,3.67,San Francisco, CA
21st Amendment Brewery,North Star Red,American Amber / Red Ale,5.5,7,3.57,San Francisco, CA
21st Amendment Brewery,O'Sullivan's Irish Ale,Irish Red Ale,5.6,2,3.5,San Francisco, CA
21st Amendment Brewery,Oaked Baby Horse,Quadrupel (Quad),11.8,1,4.5,San Francisco, CA
21st Amendment Brewery,Old Glory,American Strong Ale,7.3,1,3.0,San Francisco, CA
21st Amendment Brewery,Opening Day IPA,American IPA,7.5,14,4.0,San Francisco, CA
21st Amendment Brewery,Over Hopulation,American IPA,7.1,1,3.0,San Francisco, CA
21st Amendment Brewery,Oyster Point Oyster Stout,English Stout,4.9,7,3.36,San Francisco, CA
21st Amendment Brewery,Papa Park's Porter,American Porter,6.2,4,2.88,San Francisco, CA
21st Amendment Brewery,Phoenix IPA,English India Pale Ale (IPA),6.9,4,4.5,San Francisco, CA
21st Amendment Brewery,Pippo's Porter,American Porter,4.5,2,4.0,San Francisco, CA
21st Amendment Brewery,Potrero ESB,Extra Special / Strong Bitter (ESB),5.2,2,4.25,San Francisco, CA
21st Amendment Brewery,Rammstein,Hefeweizen,8.1,3,3.5,San Francisco, CA
21st Amendment Brewery,Rathskeller Alt,Altbier,5.2,1,3.0,San Francisco, CA
21st Amendment Brewery,Ripple Imperial Chocolate Porter,American Porter,8.9,1,4.0,San Francisco, CA
21st Amendment Brewery,Roasted American,American Amber / Red Ale,6.1,1,3.5,San Francisco, CA
21st Amendment Brewery,Shot Tower Stout,Foreign / Export Stout,6.2,1,4.0,San Francisco, CA
21st Amendment Brewery,South Park Blonde,American Blonde Ale,5.1,11,3.68,San Francisco, CA
21st Amendment Brewery,Spill It Milk Stout,Milk / Sweet Stout,5.2,1,4.0,San Francisco, CA
21st Amendment Brewery,Spring Tweet,American Pale Wheat Ale,4.8,1,3.5,San Francisco, CA
21st Amendment Brewery,St. Lupulin,Belgian Strong Pale Ale,9.0,179,3.0,San Francisco, CA
21st Amendment Brewery,St. Patrick O'Sullivan's Irish Red,Irish Red Ale,5.4,1,5.0,San Francisco, CA
21st Amendment Brewery,Summit IPA,American IPA,5.9,6,4.5,San Francisco, CA
21st Amendment Brewery,TBN - Blonde Bock,Maibock / Helles Bock,6.5,1,3.5,San Francisco, CA
21st Amendment Brewery,Tenure,Saison / Farmhouse Ale,6.6,1,3.0,San Francisco, CA
21st Amendment Brewery,The Conventioneer,American Blonde Ale,5.5,2,3.5,San Francisco, CA
21st Amendment Brewery,Two Lane Blacktop Imperial Black,American Double / Imperial IPA,9.4,4,3.38,San Francisco, CA
21st Amendment Brewery,U.S.  I.P.A.,American IPA,7.2,4,3.88,San Francisco, CA
21st Amendment Brewery,USB 5.0,Extra Special / Strong Bitter (ESB),5.0,1,4.0,San Francisco, CA
21st Amendment Brewery,Ugly Sweater IPA,American IPA,6.5,1,2.0,San Francisco, CA
21st Amendment Brewery,Via,Belgian Pale Ale,6.0,2,3.5,San Francisco, CA
21st Amendment Brewery,Warrior IPA,American IPA,6.7,359,4.0,San Francisco, CA
21st Amendment Brewery,Wit And Wisdom,Witbier,4.7,1,4.0,San Francisco, CA
21st Amendment Brewery,Wit Cin'd,Witbier,6.0,1,1.0,San Francisco, CA
AC Golden Brewing Company,AC Golden Baltic Porter,Baltic Porter,8.8,2,4.0,Golden, CO
AC Golden Brewing Company,AC Golden German Pilsener,German Pilsener,5.4,3,4.17,Golden, CO
AC Golden Brewing Company,Colorado Native Lager,American Amber / Red Lager,5.5,38,3.83,Golden, CO
AC Golden Brewing Company,Herman Joseph's Private Reserve,German Pilsener,4.95,13,4.12,Golden, CO
AC Golden Brewing Company,Winterfest,Vienna Lager,5.5,32,3.42,Golden, CO
Airways Brewing Company,Chocolate Stout,American Stout,5.2,2292,3.5,Kent, WA
Airways Brewing Company,First Class,American IPA,5.6,1,3.0,Kent, WA
Airways Brewing Company,Honey Blonde,American Blonde Ale,6.7,34,3.75,Kent, WA
Airways Brewing Company,Jet City ESB,Extra Special / Strong Bitter (ESB),6.0,1,3.5,Kent, WA
Airways Brewing Company,Midnight Departure Seven Series IPA #5 (Cascadian Dark Ale),American Black Ale,7.2,2,4.0,Kent, WA
Airways Brewing Company,Pilot / Co-Pilot Stout,American Stout,5.2,1,3.5,Kent, WA
Airways Brewing Company,Seven Series IPA #1,American Double / Imperial IPA,8.0,1,3.0,Kent, WA
Airways Brewing Company,Starliner Stout,American Stout,5.0,2,4.75,Kent, WA
Ale Asylum,Ambergeddon,American Amber / Red Ale,6.8,132,4.14,Madison, WI
Ale Asylum,Ballistic IPA,American IPA,7.5,64,3.89,Madison, WI
Ale Asylum,Bamboozleator,Doppelbock,8.2,8,3.88,Madison, WI
Ale Asylum,Bedlam,Belgian IPA,7.5,61,4.21,Madison, WI
Ale Asylum,Big Slick Stout,American Stout,7.0,29,4.21,Madison, WI
Ale Asylum,Contorter,English Porter,4.8,55,3.83,Madison, WI
Ale Asylum,Diablo,Dubbel,8.5,15,4.04,Madison, WI
Ale Asylum,Disporterly Conduct,English Porter,5.2,8,4.0,Madison, WI
Ale Asylum,Gold Digger Blonde Ale,American Blonde Ale,4.8,18,3.72,Madison, WI
Ale Asylum,Hatha-Weizen,Hefeweizen,5.5,4,3.62,Madison, WI
Ale Asylum,Hopalicious,American Pale Ale (APA),5.8,171,3.99,Madison, WI
Ale Asylum,Mad Town Nut Brown,American Brown Ale,5.5,64,3.78,Madison, WI
